,Unique id,channel_name,category,Sub-category,Issue_reported at,issue_responded,Survey_response_Date,Agent,CSAT Score
0,3350ccee-ead7-40fa-80c6-cc7b5e6e345a,Inbound,Returns,Reverse Pickup Enquiry,"August 27, 2023, 08:28:00 AM","August 27, 2023, 08:29:00 AM","August 27, 2023, 12:00:00 AM",Terry Young,5
1,4a88df6e-aafb-477a-bd8e-63ffc34c1a43,Inbound,Returns,Wrong,"December 08, 2023, 03:04:00 PM","August 12, 2023, 03:19:00 PM","August 12, 2023, 12:00:00 AM",Brenda Cox,4
2,7b5dbea2-2370-490a-8fef-4c5f7c52a4cc,Inbound,Returns,Reverse Pickup Enquiry,"August 13, 2023, 12:45:00 PM","August 13, 2023, 01:02:00 PM","August 13, 2023, 12:00:00 AM",Brian Mcguire,5
3,c6d4401e-a4ef-4de0-af68-a8755b928f5f,Inbound,Refund Related,Refund Enquiry,"June 08, 2023, 06:07:00 PM","August 06, 2023, 06:08:00 PM","August 06, 2023, 12:00:00 AM",Dr. Heather Lewis,5
4,423bd17e-e944-4f6e-beff-9c97fa325d9e,Inbound,Returns,Reverse Pickup Enquiry,"April 08, 2023, 10:05:00 PM","August 04, 2023, 10:08:00 PM","August 04, 2023, 12:00:00 AM",Kristin Adams,5
5,3c5abde3-d352-4a60-8730-1f068e8e9c69,Inbound,Product Queries,Product Specific Information,"March 08, 2023, 10:49:00 PM","August 04, 2023, 09:26:00 AM","August 04, 2023, 12:00:00 AM",Bradley Nelson,5
6,cfe3c824-24e4-4f63-89c3-a677753bf2a2,Inbound,Order Related,Installation/demo,"August 27, 2023, 08:19:00 AM","August 27, 2023, 08:54:00 AM","August 27, 2023, 12:00:00 AM",Ruben Horton,5
7,3ee74609-2297-40c8-bab7-7f529a6b0074,Inbound,Returns,Reverse Pickup Enquiry,"August 23, 2023, 11:05:00 AM","August 23, 2023, 11:07:00 AM","August 23, 2023, 12:00:00 AM",Rebecca Graham,5
8,4b28a92d-d02f-4ca0-b17e-eedcb25fe337,Outcall,Order Related,Delayed,"August 13, 2023, 06:31:00 PM","August 13, 2023, 06:33:00 PM","August 13, 2023, 12:00:00 AM",Michael Rodriguez,5
9,02ef9aa7-d0cb-40f2-9bbb-1b73857731d7,Inbound,Order Related,Order status enquiry,"December 08, 2023, 10:32:00 PM","August 12, 2023, 10:40:00 PM","August 12, 2023, 12:00:00 AM",Todd Floyd,5
10,b94cfab5-8c16-4479-bb40-be6d5bb00568,Inbound,Product Queries,Product Specific Information,"August 14, 2023, 11:28:00 AM","August 15, 2023, 07:46:00 PM","August 15, 2023, 12:00:00 AM",Robert Cook,2
